Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663955366.8524997,35,1663969768,0,,42.338856666666665,-71.08540666666667,14.5,328207.3097672602,4689506.362828078,19,T
1663955367.8525693,36,1663969769,0,,42.33885333333333,-71.08542,14.5,328206.20226361975,4689506.019625703,19,T
1663955368.8548298,37,1663969770,0,,42.33885,-71.085435,14.6,328204.95745661017,4689505.679790895,19,T
1663955369.8523765,38,1663969771,0,,42.33884666666667,-71.08544833333333,14.6,328203.8499527294,4689505.336588884,19,T
1663955370.8525398,39,1663969772,0,,42.33884166666667,-71.08546166666666,14.7,328202.73790976976,4689504.808316406,19,T
1663955371.8705456,40,1663969773,0,,42.338838333333335,-71.08547166666666,14.7,328201.9050121824,4689504.45837982,19,T
1663955372.8522348,41,1663969774,0,,42.338835,-71.085485,14.9,328200.79750793613,4689504.115178282,19,T
1663955373.853718,42,1663969775,0,,42.33883,-71.08549833333333,15.0,328199.6854645341,4689503.5869062785,19,T
1663955374.8707318,43,1663969776,0,,42.33882333333333,-71.08551166666666,15.0,328198.5688818883,4689502.873563806,19,T
1663955375.8507702,44,1663969777,0,,42.33882,-71.085525,15.0,328197.46137720626,4689502.530362782,19,T
1663955376.8511071,45,1663969778,0,,42.338816666666666,-71.08553833333333,15.1,328196.3538724099,4689502.187161933,19,T
1663955377.8513212,46,1663969779,0,,42.338815,-71.08555,15.1,328195.388209981,4689502.02566431,19,T
1663955378.8514411,47,1663969780,0,,42.33881,-71.08556666666667,15.1,328194.0015591266,4689501.504128359,19,T
1663955379.8490796,48,1663969781,0,,42.33880833333333,-71.08557666666667,15.2,328193.173199876,4689501.339263427,19,T
1663955380.844397,49,1663969782,0,,42.33880666666666,-71.08558833333333,15.3,328192.20753723505,4689501.1777662365,19,T
1663955381.8510466,50,1663969783,0,,42.33880666666666,-71.0856,15.5,328191.2464138056,4689501.201339818,19,T
1663955382.8515837,51,1663969784,0,,42.33880166666667,-71.08561666666667,15.5,328189.8597624408,4689500.6798046725,19,T
1663955383.8613982,52,1663969785,0,,42.33879666666667,-71.08562833333333,15.6,328188.8850209658,4689500.148166654,19,T
1663955384.8430967,53,1663969786,0,,42.338795,-71.08564,15.7,328187.9193580325,4689499.986670047,19,T
1663955385.8499167,54,1663969787,0,,42.33879666666667,-71.08565166666666,15.7,328186.9627737944,4689500.195314851,19,T
1663955386.8463573,55,1663969788,0,,42.33879833333334,-71.085665,15.8,328185.8688862374,4689500.407327555,19,T
1663955387.8652678,56,1663969789,0,,42.338791666666665,-71.085685,16.0,328184.20308806375,4689499.707458414,19,T
1663955388.8487647,57,1663969790,0,,42.338786666666664,-71.0857,16.0,328182.95373920444,4689499.182556813,19,T
1663955389.8552735,58,1663969791,0,,42.33878,-71.08571833333333,16.1,328181.42524382914,4689498.479320493,19,T
1663955390.848383,59,1663969792,0,,42.338771666666666,-71.08573333333334,16.2,328180.16681542713,4689497.5842780955,19,T
1663955391.8625214,60,1663969793,0,,42.33876333333333,-71.08574666666667,16.4,328179.0456901452,4689496.685868013,19,T
1663955392.8505418,61,1663969794,0,,42.33875333333334,-71.08575666666667,16.6,328178.19463189883,4689495.595651626,19,T
1663955393.8465993,62,1663969795,0,,42.33874333333333,-71.08576,16.7,328177.89278734545,4689494.491963626,19,T
1663955394.8497994,63,1663969796,0,,42.33873833333333,-71.08576,16.9,328177.87916853477,4689493.936751708,19,T
1663955395.8463774,64,1663969797,0,,42.338726666666666,-71.08576333333333,16.9,328177.57278426853,4689492.647993082,19,T
1663955396.866347,65,1663969798,0,,42.33871666666667,-71.08576,17.0,328177.82015370356,4689491.530833403,19,T
1663955397.8488212,66,1663969799,0,,42.33871333333333,-71.08575,16.9,328178.63489581196,4689491.140484644,19,T
1663955398.8451889,67,1663969800,0,,42.33871,-71.08574333333334,16.9,328179.17503089097,4689490.756871768,19,T
1663955399.8520331,68,1663969801,0,,42.338705,-71.08573166666666,16.9,328180.12253718835,4689490.178084658,19,T
1663955400.8424976,69,1663969802,0,,42.3387,-71.08572833333334,16.9,328180.3835257329,4689489.616137001,19,T
1663955401.8431609,70,1663969803,0,,42.338695,-71.08572333333333,16.9,328180.78181791515,4689489.050821489,19,T
1663955402.8461082,71,1663969804,0,,42.338685,-71.08572333333333,16.8,328180.7545807997,4689487.940397663,19,T
1663955403.849818,72,1663969805,0,,42.33868,-71.08572,16.8,328181.01556949515,4689487.378450032,19,T
1663955404.843901,73,1663969806,0,,42.338675,-71.08571833333333,16.7,328181.13925459696,4689486.819870269,19,T
1663955405.844474,74,1663969807,0,,42.338665,-71.08571833333333,16.5,328181.1120175575,4689485.709446447,19,T
1663955406.8452535,75,1663969808,0,,42.338656666666665,-71.08571833333333,16.6,328181.08932002855,4689484.784093262,19,T
1663955407.8470166,76,1663969809,0,,42.33864666666667,-71.08572,16.5,328180.9247793027,4689483.6770373,19,T
1663955408.8464568,77,1663969810,0,,42.33864,-71.08572166666667,16.4,328180.7693175584,4689482.940122611,19,T
1663955409.8470693,78,1663969811,0,,42.338633333333334,-71.08572166666667,16.5,328180.7511595147,4689482.199840067,19,T
1663955410.8542678,79,1663969812,0,,42.338625,-71.085725,16.7,328180.45385447674,4689481.281222612,19,T
1663955411.84788,80,1663969813,0,,42.338618333333336,-71.08572666666667,16.9,328180.2983926493,4689480.544307934,19,T
1663955412.8465412,81,1663969814,0,,42.338613333333335,-71.085725,17.0,328180.4220778602,4689479.985728164,19,T
1663955413.8471,82,1663969815,0,,42.338605,-71.08573,16.9,328179.98746891634,4689479.070478589,19,T
1663955414.846624,83,1663969816,0,,42.33859666666667,-71.08573333333334,16.8,328179.6901636743,4689478.151861163,19,T
1663955415.846725,84,1663969817,0,,42.33859,-71.08573166666666,16.9,328179.8093093659,4689477.408210747,19,T
1663955416.8465343,85,1663969818,0,,42.33858166666667,-71.08573,16.9,328179.92391556245,4689476.479489702,19,T
1663955417.8526056,86,1663969819,0,,42.33857666666667,-71.08572833333334,17.0,328180.04760083894,4689475.920909928,19,T
1663955418.8460228,87,1663969820,0,,42.338568333333335,-71.08573166666666,16.8,328179.7502955062,4689475.002292501,19,T
1663955419.8457315,88,1663969821,0,,42.33856333333333,-71.08573166666666,17.0,328179.73667692667,4689474.447080596,19,T
1663955420.8493536,89,1663969822,0,,42.33855666666667,-71.08573333333334,17.0,328179.58121492836,4689473.710165937,19,T
1663955421.8498657,90,1663969823,0,,42.33855,-71.08573333333334,16.9,328179.56305681216,4689472.969883401,19,T
